"invoice.identifier", "invoice.effective_date", "invoice.vendor", "invoice.subtotal_amount", "invoice.tax", "invoice.total_amount", "item.item_id", "item.resource_id", "item.unit_amount", "item.units", "item.total_amount", "item.currency", "item.start_date", "item.end_date"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-18 00:00:00", "2017-04-19 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-19 00:00:00", "2017-04-20 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-20 00:00:00", "2017-04-21 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-21 00:00:00", "2017-04-22 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-22 00:00:00", "2017-04-23 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-23 00:00:00", "2017-04-24 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-24 00:00:00", "2017-04-25 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-25 00:00:00", "2017-04-26 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-26 00:00:00", "2017-04-27 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-27 00:00:00", "2017-04-28 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-28 00:00:00", "2017-04-29 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-29 00:00:00", "2017-04-30 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-04-30 00:00:00", "2017-05-01 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-05-01 00:00:00", "2017-05-02 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-05-02 00:00:00", "2017-05-03 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-05-03 00:00:00", "2017-05-04 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "6.90", "1", "6.90", "USD", "2017-05-04 00:00:00", "2017-05-05 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-05 00:00:00", "2017-04-06 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-06 00:00:00", "2017-04-07 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-07 00:00:00", "2017-04-08 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-08 00:00:00", "2017-04-09 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-09 00:00:00", "2017-04-10 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-10 00:00:00", "2017-04-11 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-11 00:00:00", "2017-04-12 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-12 00:00:00", "2017-04-13 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-13 00:00:00", "2017-04-14 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-14 00:00:00", "2017-04-15 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-15 00:00:00", "2017-04-16 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-16 00:00:00", "2017-04-17 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-17 00:00:00", "2017-04-18 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-18 00:00:00", "2017-04-19 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-19 00:00:00", "2017-04-20 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-20 00:00:00", "2017-04-21 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-21 00:00:00", "2017-04-22 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-22 00:00:00", "2017-04-23 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-23 00:00:00", "2017-04-24 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-24 00:00:00", "2017-04-25 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-25 00:00:00", "2017-04-26 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-26 00:00:00", "2017-04-27 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-27 00:00:00", "2017-04-28 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-28 00:00:00", "2017-04-29 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-29 00:00:00", "2017-04-30 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-30 00:00:00", "2017-05-01 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-01 00:00:00", "2017-05-02 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-02 00:00:00", "2017-05-03 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-03 00:00:00", "2017-05-04 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-04 00:00:00", "2017-05-05 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-05 00:00:00", "2017-04-06 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-06 00:00:00", "2017-04-07 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-07 00:00:00", "2017-04-08 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-08 00:00:00", "2017-04-09 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-09 00:00:00", "2017-04-10 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-10 00:00:00", "2017-04-11 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-11 00:00:00", "2017-04-12 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-12 00:00:00", "2017-04-13 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-13 00:00:00", "2017-04-14 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-14 00:00:00", "2017-04-15 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-15 00:00:00", "2017-04-16 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-16 00:00:00", "2017-04-17 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-17 00:00:00", "2017-04-18 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-18 00:00:00", "2017-04-19 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-19 00:00:00", "2017-04-20 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-20 00:00:00", "2017-04-21 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-21 00:00:00", "2017-04-22 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-22 00:00:00", "2017-04-23 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-23 00:00:00", "2017-04-24 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-24 00:00:00", "2017-04-25 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-25 00:00:00", "2017-04-26 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-26 00:00:00", "2017-04-27 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-27 00:00:00", "2017-04-28 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-28 00:00:00", "2017-04-29 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-29 00:00:00", "2017-04-30 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-30 00:00:00", "2017-05-01 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-01 00:00:00", "2017-05-02 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-02 00:00:00", "2017-05-03 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-03 00:00:00", "2017-05-04 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-05-04 00:00:00", "2017-05-05 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54864", "frontend6.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-05 00:00:00", "2017-04-06 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54864", "frontend6.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-06 00:00:00", "2017-04-07 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54864", "frontend6.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-07 00:00:00", "2017-04-08 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54864", "frontend6.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-08 00:00:00", "2017-04-09 00:00:00"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54864", "frontend6.nyj4.lifestreetmedia.com", "5.10", "1", "5.10", "USD", "2017-04-09 00:00:00", "2017-04-10 00:00:00"
